accession	evalue	identity_pct	query_coverage	passes_filter	title
P69905	1.98e-100	100.0	100.0	True	sp|P69905.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01923	1.07e-98	99.3	99.3	True	sp|P01923.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
Q9TS35	2.38e-98	98.6	100.0	True	sp|Q9TS35.2| RecName: Full=Hemoglobin subunit alpha-1; AltName: Full=Alpha-1-globin; AltName: Full=Hemoglobin alpha-1 ch
P06635	3.57e-98	97.9	100.0	True	sp|P06635.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01924	3.00e-97	97.9	99.3	True	sp|P01924.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P63107	3.31e-97	97.2	100.0	True	sp|P63107.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P67817	1.14e-96	96.5	100.0	True	sp|P67817.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
Q9TS34	1.33e-96	96.5	100.0	True	sp|Q9TS34.2| RecName: Full=Hemoglobin subunit alpha-2; AltName: Full=Alpha-2-globin; AltName: Full=Hemoglobin alpha-2 ch
P18972	1.41e-96	97.2	99.3	True	sp|P18972.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01926	3.66e-96	96.5	100.0	True	sp|P01926.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P21767	4.31e-96	97.2	99.3	True	sp|P21767.1| RecName: Full=Hemoglobin subunit alpha-A/Q/R/T; AltName: Full=Alpha-A/Q/R/T-globin; AltName: Full=Hemoglobi
P01928	4.37e-96	95.8	100.0	True	sp|P01928.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P67818	9.93e-96	96.5	99.3	True	sp|P67818.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P21766	1.07e-95	97.2	99.3	True	sp|P21766.1| RecName: Full=Hemoglobin subunit alpha-1/2/3; AltName: Full=Alpha-1/2/3-globin; AltName: Full=Hemoglobin al
P01929	1.20e-95	96.5	99.3	True	sp|P01929.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P07421	4.05e-95	95.7	99.3	True	sp|P07421.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P21768	4.67e-95	96.5	99.3	True	sp|P21768.1| RecName: Full=Hemoglobin subunit alpha-1/2; AltName: Full=Alpha-1/2-globin; AltName: Full=Hemoglobin alpha-
P19002	6.63e-95	96.5	99.3	True	sp|P19002.1| RecName: Full=Hemoglobin subunit alpha-1/2/3; AltName: Full=Alpha-1/2/3-globin; AltName: Full=Hemoglobin al
P07402	1.70e-94	96.5	99.3	True	sp|P07402.1| RecName: Full=Hemoglobin subunit alpha-1/2; AltName: Full=Alpha-1/2-globin; AltName: Full=Hemoglobin alpha-
P01930	2.48e-94	95.1	100.0	True	sp|P01930.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
Q7M3B6	2.82e-94	95.7	99.3	True	sp|Q7M3B6.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01937	1.34e-92	93.6	99.3	True	sp|P01937.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01939	1.97e-92	92.3	100.0	True	sp|P01939.3| RecName: Full=Hemoglobin subunit alpha-B; AltName: Full=Alpha-B-globin; AltName: Full=Alpha-II; AltName: Fu
P01935	3.49e-92	88.7	99.3	True	sp|P01935.1| RecName: Full=Hemoglobin subunit alpha-3; AltName: Full=Alpha-3-globin; AltName: Full=Hemoglobin alpha-2 ch
P01934	5.60e-92	89.4	99.3	True	sp|P01934.1| RecName: Full=Hemoglobin subunit alpha-3; AltName: Full=Alpha-3-globin; AltName: Full=Hemoglobin alpha-2 ch
P14259	6.90e-92	92.3	100.0	True	sp|P14259.2| RecName: Full=Hemoglobin subunit alpha-A; AltName: Full=Alpha-A-globin; Short=Alpha-I; AltName: Full=Hemogl
P08258	9.07e-92	93.6	99.3	True	sp|P08258.1| RecName: Full=Hemoglobin subunit alpha-1/2; AltName: Full=Alpha-1/2-globin; AltName: Full=Hemoglobin alpha-
P01938	1.50e-91	92.9	99.3	True	sp|P01938.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01940	1.57e-91	91.5	99.3	True	sp|P01940.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P11757	2.84e-91	90.8	99.3	True	sp|P11757.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P63111	1.25e-90	92.3	100.0	True	sp|P63111.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01933	1.59e-90	92.9	99.3	True	sp|P01933.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P11753	2.31e-90	90.1	99.3	True	sp|P11753.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01956	5.62e-90	90.1	99.3	True	sp|P01956.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P14387	8.62e-90	90.1	100.0	True	sp|P14387.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01932	3.25e-89	91.5	99.3	True	sp|P01932.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
B3EWC7	4.37e-89	90.1	99.3	True	sp|B3EWC7.1| RecName: Full=Hemoglobin subunit alpha [Tamias merriami]
P28780	9.42e-89	90.1	99.3	True	sp|P28780.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P20854	1.16e-88	88.7	99.3	True	sp|P20854.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P09839	1.38e-88	89.4	99.3	True	sp|P09839.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01953	1.70e-88	88.7	99.3	True	sp|P01953.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01936	2.05e-88	89.4	99.3	True	sp|P01936.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
Q862A7	2.83e-88	89.5	100.0	True	sp|Q862A7.3| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P14389	3.97e-88	87.2	99.3	True	sp|P14389.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P20018	4.62e-88	87.9	99.3	True	sp|P20018.1| RecName: Full=Hemoglobin subunit alpha-1; AltName: Full=Alpha-1-globin; AltName: Full=Hemoglobin alpha-1 ch
P20019	7.25e-88	87.9	99.3	True	sp|P20019.1| RecName: Full=Hemoglobin subunit alpha-2; AltName: Full=Alpha-2-globin; AltName: Full=Hemoglobin alpha-2 ch
P20243	1.14e-87	87.9	99.3	True	sp|P20243.1| RecName: Full=Hemoglobin subunit alpha-1/2; AltName: Full=Alpha-1/2-globin; AltName: Full=Hemoglobin alpha-
B3EWE3	1.40e-87	87.2	99.3	True	sp|B3EWE3.1| RecName: Full=Hemoglobin subunit alpha [Microtus pennsylvanicus]
P10892	1.80e-87	87.2	99.3	True	sp|P10892.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01963	1.95e-87	87.3	100.0	True	sp|P01963.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
Q9XSK1	2.30e-87	88.0	100.0	True	sp|Q9XSK1.3| RecName: Full=Hemoglobin subunit alpha-4; AltName: Full=Alpha-4-globin; AltName: Full=Hemoglobin alpha-4 ch
D0VX09	2.32e-87	86.5	99.3	True	sp|D0VX09.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P23601	3.56e-87	87.2	99.3	True	sp|P23601.1| RecName: Full=Hemoglobin subunit alpha-1/2; AltName: Full=Alpha-1/2-globin; AltName: Full=Hemoglobin alpha-
P01958	3.64e-87	88.0	100.0	True	sp|P01958.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01945	5.11e-87	86.5	99.3	True	sp|P01945.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01942	5.29e-87	85.9	100.0	True	sp|P01942.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P23600	6.09e-87	86.5	99.3	True	sp|P23600.1| RecName: Full=Hemoglobin subunit alpha-1/2; AltName: Full=Alpha-1/2-globin; AltName: Full=Hemoglobin alpha-
Q9TSN8	8.20e-87	86.6	100.0	True	sp|Q9TSN8.3| RecName: Full=Hemoglobin subunit alpha-2; AltName: Full=Alpha-2-globin; AltName: Full=Hemoglobin alpha-2 ch
P01966	9.25e-87	88.0	100.0	True	sp|P01966.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P11755	9.45e-87	87.2	99.3	True	sp|P11755.1| RecName: Full=Hemoglobin subunit alpha-1; AltName: Full=Alpha-1-globin; AltName: Full=Hemoglobin alpha-1 ch
Q7M2Y4	1.05e-86	87.9	99.3	True	sp|Q7M2Y4.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P41327	1.27e-86	85.1	99.3	True	sp|P41327.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
Q9XSE9	1.42e-86	87.3	100.0	True	sp|Q9XSE9.3| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P09423	1.77e-86	88.0	100.0	True	sp|P09423.2| RecName: Full=Hemoglobin subunit alpha-I/II; AltName: Full=Alpha-I/II-globin; AltName: Full=Hemoglobin alph
P09906	1.83e-86	87.2	99.3	True	sp|P09906.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01951	1.95e-86	87.2	99.3	True	sp|P01951.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P18970	2.08e-86	86.6	100.0	True	sp|P18970.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
Q9TVA3	2.20e-86	86.6	100.0	True	sp|Q9TVA3.3| RecName: Full=Hemoglobin subunit alpha-2; AltName: Full=Alpha-2-globin; AltName: Full=Hemoglobin alpha-2 ch
B3EWD9	2.38e-86	87.2	99.3	True	sp|B3EWD9.1| RecName: Full=Hemoglobin subunit alpha [Tamias striatus]
P07405	2.45e-86	85.1	99.3	True	sp|P07405.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
Q9TSN7	2.48e-86	87.3	100.0	True	sp|Q9TSN7.3| RecName: Full=Hemoglobin subunit alpha-1; AltName: Full=Alpha-1-globin; AltName: Full=Hemoglobin alpha-1 ch
P14390	3.81e-86	86.5	99.3	True	sp|P14390.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P09908	4.20e-86	86.5	99.3	True	sp|P09908.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01962	4.25e-86	85.8	99.3	True	sp|P01962.1| RecName: Full=Hemoglobin subunit alpha-1/2; AltName: Full=Alpha-1/2-globin; AltName: Full=Hemoglobin alpha-
P41330	4.30e-86	85.9	100.0	True	sp|P41330.2| RecName: Full=Hemoglobin subunit alpha-2; AltName: Full=Alpha-2-globin; AltName: Full=Hemoglobin alpha-2 ch
P01969	5.01e-86	88.0	100.0	True	sp|P01969.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01968	5.59e-86	87.9	99.3	True	sp|P01968.1| RecName: Full=Hemoglobin subunit alpha-2; AltName: Full=Alpha-2-globin; AltName: Full=Hemoglobin alpha-2 ch
P10885	6.10e-86	87.2	99.3	True	sp|P10885.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P24659	6.66e-86	87.2	99.3	True	sp|P24659.1| RecName: Full=Hemoglobin subunit alpha-1/2; AltName: Full=Alpha-1/2-globin; AltName: Full=Hemoglobin alpha-
P63109	6.89e-86	83.8	100.0	True	sp|P63109.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P41329	8.96e-86	85.2	100.0	True	sp|P41329.2| RecName: Full=Hemoglobin subunit alpha-1; AltName: Full=Alpha-1-globin; AltName: Full=Hemoglobin alpha-1 ch
P18978	9.46e-86	83.7	99.3	True	sp|P18978.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01948	1.62e-85	82.4	100.0	True	sp|P01948.2| RecName: Full=Hemoglobin subunit alpha-1/2; AltName: Full=Alpha-1/2-globin; AltName: Full=Hemoglobin alpha-
P01944	2.04e-85	84.4	99.3	True	sp|P01944.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01959	2.33e-85	85.9	100.0	True	sp|P01959.3| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P19015	2.71e-85	87.2	99.3	True	sp|P19015.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P10778	2.93e-85	85.8	99.3	True	sp|P10778.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
Q9TSN9	3.13e-85	85.9	100.0	True	sp|Q9TSN9.3| RecName: Full=Hemoglobin subunit alpha-3; AltName: Full=Alpha-3-globin; AltName: Full=Hemoglobin alpha-3 ch
B3EWD5	3.31e-85	87.2	99.3	True	sp|B3EWD5.1| RecName: Full=Hemoglobin subunit alpha [Peromyscus californicus]
P18975	3.34e-85	83.1	100.0	True	sp|P18975.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
Q0ZA50	4.26e-85	86.6	100.0	True	sp|Q0ZA50.3| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P0CH25	4.26e-85	86.6	100.0	True	sp|P0CH25.1| RecName: Full=Hemoglobin subunit alpha-1; AltName: Full=Alpha-1-globin; AltName: Full=Hemoglobin alpha-1 ch
P01967	5.07e-85	87.2	99.3	True	sp|P01967.1| RecName: Full=Hemoglobin subunit alpha-1; AltName: Full=Alpha-1-globin; AltName: Full=Hemoglobin alpha-1 ch
P63110	5.98e-85	83.7	99.3	True	sp|P63110.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
Q9XSN3	6.97e-85	85.2	100.0	True	sp|Q9XSN3.3| RecName: Full=Hemoglobin subunit alpha-1; AltName: Full=Alpha-1-globin; AltName: Full=Hemoglobin alpha-1 ch
Q7M3B8	8.49e-85	85.1	99.3	True	sp|Q7M3B8.1| RecName: Full=Hemoglobin subunit alpha-1; AltName: Full=Alpha-1-globin; AltName: Full=Hemoglobin alpha-1 ch
P68235	9.38e-85	84.5	100.0	True	sp|P68235.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P18976	9.58e-85	83.7	99.3	True	sp|P18976.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P18969	1.16e-84	85.9	100.0	True	sp|P18969.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01961	1.23e-84	85.2	100.0	True	sp|P01961.3| RecName: Full=Hemoglobin subunit alpha-1/2; AltName: Full=Alpha-1/2-globin; AltName: Full=Hemoglobin alpha-
P08852	1.54e-84	90.8	99.3	True	sp|P08852.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P0CH26	2.16e-84	85.9	100.0	True	sp|P0CH26.1| RecName: Full=Hemoglobin subunit alpha-2; AltName: Full=Alpha-2-globin; AltName: Full=Hemoglobin alpha-2 ch
P09904	2.57e-84	85.1	99.3	True	sp|P09904.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P19645	2.78e-84	83.7	99.3	True	sp|P19645.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P11750	4.08e-84	90.8	99.3	True	sp|P11750.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P10883	4.17e-84	83.0	99.3	True	sp|P10883.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P18971	5.42e-84	83.1	100.0	True	sp|P18971.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P26915	5.73e-84	83.7	99.3	True	sp|P26915.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01971	7.14e-84	85.2	100.0	True	sp|P01971.2| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P01941	7.62e-84	80.9	99.3	True	sp|P01941.1| RecName: Full=Hemoglobin subunit alpha; AltName: Full=Alpha-globin; AltName: Full=Hemoglobin alpha chain; C
P15163	1.00e-83	83.7	99.3	True	sp|P15163.1| RecName: Full=Hemoglobin subunit alpha-1/2; AltName: Full=Alpha-1/2-globin; AltName: Full=Hemoglobin alpha-
B3EWC9	1.18e-83	90.1	99.3	True	sp|B3EWC9.1| RecName: Full=Hemoglobin subunit alpha [Otospermophilus beecheyi]
